node_id,count,A,r,cL,word,R4,R4_decimal,in_range,impossible,mod_4A
24,0,89,16908665,9158340031297071389735967631751,2.1.2.1.1.1.1.1.3.1.1.1.1.1.2.1.1.2.2.1.1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.2.1.1.1.2.5.1.2.1.1.4.1.1.1.1.1.1.1.2.1.2.1.1.1.1.1.3.2.2,126599526075344104511018604601818880769350338751247210525510596035430327164201823875850139760503260077752697,126599526075344104511018604601818880769350338751247210525510596035430327164201823875850139760503260077752697,False,True,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936
25,0,89,9428665,44132845304288827649925980589127,2.1.2.3.2.1.2.1.1.1.1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1.1.1.1,70527113041581553560150778237700428396958493105069074952806348554035905600400818288498614595965792285613753,70527113041581553560150778237700428396958493105069074952806348554035905600400818288498614595965792285613753,False,True,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936
26,0,89,7687505,21140094003377662513392895124911,2.3.1.1.1.1.1.2.1.1.1.2.2.2.1.3.1.1.2.1.1.1.2.1.1.2.1.1.1.2.1.1.1.1.2.2.1.1.1.2.1.1.2.1.1.1.1.1.2.1.4.2.1.1.1.1.2.1.1.1.1.2.2.1,57268369976725732114419840434383660192592444167921442977696373304281190852126858370311017369805517531467089,57268369976725732114419840434383660192592444167921442977696373304281190852126858370311017369805517531467089,False,True,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936
27,0,90,15914751,6773314724120325126716977636865,1.1.1.1.1.1.1.2.1.2.1.1.1.1.2.1.3.4.2.1.1.2.2.1.2.1.1.1.1.5.1.1.1.1.1.2.1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.2.2.1.2.2.1.2.2.2.1.1.2.1,2106040378339494744525896973336292153637769352884748493461022288961176468664878140206620343797718731143173887,2106040378339494744525896973336292153637769352884748493461022288961176468664878140206620343797718731143173887,False,True,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976
28,0,90,18619967,14938816678164328667158147849921,1.1.1.1.1.5.2.1.1.2.1.1.1.1.1.2.2.2.1.1.1.1.1.1.1.1.1.2.1.1.1.3.1.2.3.1.1.3.2.1.2.2.2.1.1.1.1.1.1.1.2.1.2.1.1.1.2.1.1.1.1.1.2.2,1914710838922066137099885695351156093844468113889828729649296799183537213944527335711445887147015680598744639,1914710838922066137099885695351156093844468113889828729649296799183537213944527335711445887147015680598744639,False,True,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976
29,0,90,2943135,12300834851248952102915333665889,1.1.1.1.2.1.1.1.1.1.3.2.2.3.1.3.1.1.1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1,1223067451826280811135118799816226962525791676566008509291967771396275942437119164790904718609565660857821343,1223067451826280811135118799816226962525791676566008509291967771396275942437119164790904718609565660857821343,False,True,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976
30,0,90,2643183,4794360534574388501321663723537,1.1.1.2.1.1.1.1.1.1.1.2.1.2.1.3.2.1.1.2.1.1.1.1.2.3.1.3.1.1.1.1.1.1.1.1.1.1.2.1.4.1.1.1.3.1.1.1.4.1.2.1.2.2.1.2.1.1.1.1.2.1.1.1,1561729784569333601843797231548377146163507737293520076149901306609406026298060200568788969107513462453982447,1561729784569333601843797231548377146163507737293520076149901306609406026298060200568788969107513462453982447,False,True,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976
31,0,90,7297127,9378902718268562023382446152857,1.1.2.1.1.1.2.2.2.1.3.1.1.2.1.1.1.2.1.1.2.1.1.1.2.1.1.1.1.2.2.1.1.1.2.1.1.2.1.1.1.1.1.2.1.4.2.1.1.1.1.2.1.1.1.1.2.2.1.2.2.3.1.1,1611317428264688989263945555885739418081607700483384707780750950956726422983511813672195239464629420317169767,1611317428264688989263945555885739418081607700483384707780750950956726422983511813672195239464629420317169767,False,True,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976
32,0,90,6297895,21859127886365693640957048396761,1.1.2.1.3.2.2.1.1.1.2.1.3.1.2.1.1.1.2.1.2.1.1.1.2.1.1.3.1.1.1.1.1.1.1.3.1.1.1.1.1.2.3.1.1.1.1.2.1.1.1.1.1.1.1.2.1.2.2.1.2.2.2.1,1824643631116405374770414757670807221739740482957861453754404613130646608258606471465653645970343589903866151,1824643631116405374770414757670807221739740482957861453754404613130646608258606471465653645970343589903866151,False,True,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976
33,0,90,10250007,27041818084392950729546277428713,1.1.5.1.1.1.1.1.2.1.1.1.2.2.2.1.3.1.1.2.1.1.1.2.1.1.2.1.1.1.2.1.1.1.1.2.2.1.1.1.2.1.1.2.1.1.1.1.1.2.1.4.2.1.1.1.1.2.1.1.1.1.2.2,2308885543324060009886733806022851659100788622207396354686665913079767454301389903656760305839408066871453463,2308885543324060009886733806022851659100788622207396354686665913079767454301389903656760305839408066871453463,False,True,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976
34,0,90,15665243,7509952322602856911435143563429,1.2.1.1.2.1.1.1.1.3.1.1.1.1.1.3.1.2.2.2.1.1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.1.1.1.4.2.1.2.2.3.1.3.1.1.1.2.1.2.1.1.1.2.1.1.1.1.1.2.3,1942496848499937667722629733886493217117747995826780353471655865267576226125674878361081901064989238388263003,1942496848499937667722629733886493217117747995826780353471655865267576226125674878361081901064989238388263003,False,True,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976
35,0,90,11933163,25438540978406909238726559361813,1.2.2.1.1.1.1.1.1.2.1.2.1.5.2.2.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1.1.1.1.4.1.1.1,2190871676497173268413072887501099970530879041702322688157098043214101560483436752744974049266584220033488363,2190871676497173268413072887501099970530879041702322688157098043214101560483436752744974049266584220033488363,False,True,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976
36,0,90,18857331,84832006788285142815194112088973,1.3.2.3.2.1.2.1.1.1.1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1.1.1.1,1969022905272912297470505186289484951688669093373272366895247128161908535427055545116196454124835380922400115,1969022905272912297470505186289484951688669093373272366895247128161908535427055545116196454124835380922400115,False,True,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976
37,0,90,15375011,38846504186462812542127941160541,1.5.1.1.1.1.1.2.1.1.1.2.2.2.1.3.1.1.2.1.1.1.2.1.1.2.1.1.1.2.1.1.1.1.2.2.1.1.1.2.1.1.2.1.1.1.1.1.2.1.4.2.1.1.1.1.2.1.1.1.1.2.2.1,2289057023599173400885360410639608974963341658856934596676353383853546668894780633753290959566727748791212707,2289057023599173400885360410639608974963341658856934596676353383853546668894780633753290959566727748791212707,False,True,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976
38,0,90,19022249,7299046048715533570713251608919,2.1.1.1.1.1.3.1.1.1.1.1.2.1.1.2.2.1.1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.2.1.1.1.2.5.1.2.1.1.4.1.1.1.1.1.1.1.2.1.2.1.1.1.1.1.3.2.2.1.3,2115070256342418368922719274833483210254310086999674696094917515459369158731467457991074808373630441456026025,2115070256342418368922719274833483210254310086999674696094917515459369158731467457991074808373630441456026025,False,True,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976
