node_id,count,A,r,cL,word
59,0,91,16197541,45909855087388894619890455807835,4.1.1.1.2.1.3.1.1.1.1.1.1.3.1.1.2.2.2.1.3.1.1.2.1.1.1.2.1.1.2.1.1.1.2.1.1.1.1.2.2.1.1.1.2.1.1.2.1.1.1.1.1.2.1.4.2.1.1.1.1.2.1.1
60,0,92,18846191,5186396896319917500819105184529,1.1.1.2.1.1.2.1.1.1.1.3.1.1.1.1.2.1.1.3.1.1.2.1.2.1.1.1.2.2.1.3.1.1.1.1.1.1.2.1.3.1.2.2.1.1.1.1.2.1.1.2.3.1.1.1.2.1.1.2.3.3.1.1
61,0,92,16193071,7196280247621370634186158126801,1.1.1.2.2.1.1.1.1.2.2.1.1.1.3.3.1.1.1.1.2.1.1.1.1.1.1.1.1.1.2.1.1.1.2.2.4.1.1.1.2.1.1.1.3.2.1.1.1.1.1.1.1.3.1.1.3.1.1.1.1.2.3.3
62,0,92,5311591,5326794686702841287644441536665,1.1.2.1.1.1.2.1.1.1.1.1.1.2.1.2.2.1.3.1.1.1.1.2.1.1.2.3.1.2.1.1.1.1.2.1.1.1.1.1.1.1.2.1.1.2.2.1.1.1.5.1.1.4.2.1.1.1.1.4.1.2.1.1
63,0,92,12404551,8695723681287521556876231790009,1.1.2.2.1.1.3.1.1.1.1.1.1.1.1.1.1.1.1.2.2.2.1.1.1.2.4.2.1.1.2.2.1.2.1.1.1.1.1.2.1.1.1.3.1.1.2.1.1.1.2.1.1.1.2.3.1.1.1.2.1.1.4.2
64,0,92,5947163,6496753852475840247495055921637,1.2.1.1.1.1.1.1.1.2.1.2.1.3.2.1.1.2.1.1.1.1.2.3.1.3.1.1.1.1.1.1.1.1.1.1.2.1.4.1.1.1.3.1.1.1.4.1.2.1.2.2.1.2.1.1.1.1.2.1.1.1.1.3
65,0,92,8495387,16572878973598587935773287477221,1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1.1.1.1.4.1.1.1.1.4.3.1.2.1
66,0,92,14437403,5755230073337859537258672669925,1.2.1.1.1.1.2.1.2.1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.1.2.1.1.1.1.2.1.1.1.1.2.1.2.1.4.1.1.3.1.2.1.1.1.1.1.1.1.1.2.1.3.1.2.1.2.3.4.4
67,0,92,14045435,6730887591323583152784758169605,1.2.1.2.1.1.1.1.1.1.2.1.1.1.2.1.1.1.2.2.2.1.1.1.1.1.2.2.1.1.2.1.2.1.1.3.1.1.2.1.2.1.1.1.1.1.1.4.1.2.1.1.4.4.1.1.1.1.2.1.1.1.1.3
68,0,92,11308969,11011207700700021567060855597911,2.1.1.1.1.1.2.1.2.2.2.1.2.1.2.1.1.1.1.1.1.1.2.1.2.1.1.5.2.1.3.2.1.1.1.1.1.2.1.1.3.2.1.1.1.2.2.1.1.2.1.1.2.1.1.1.1.3.2.1.1.1.1.1
69,0,92,16539401,12737208928428485730354393250807,2.1.1.2.2.1.1.3.1.1.1.1.1.1.1.1.1.1.1.1.2.2.2.1.1.1.2.4.2.1.1.2.2.1.2.1.1.1.1.1.2.1.1.1.3.1.1.2.1.1.1.2.1.1.1.2.3.1.1.1.2.1.1.4
